Name;Expansion;Types;Cost;Text;Actions / Villagers;Cards;Buys;Coins / Coffers;Trash / Return;Exile;Junk;Gain;Victory Points;ImagePath
Tournament;Cornucopia, 1E;Action;$4;+1 Action Each player may reveal a Province from their hand. If you do, discard it and gain any Prize (from the Prize pile) or a Duchy, onto your deck. If no-one else does, +1 Card and +$1.;+1;!+1;;!+$1;;;;!1;!(3 ?);Cornucopia_1E/Tournament.jpg
Young Witch;Cornucopia;Action - Attack;$4;+2 Cards Discard 2 cards. Each other player gains a Curse unless they reveal a Bane from their hand.Setup: Add an extra Kingdom card pile costing $2 or $3 to the Supply. Its cards are Banes.;;+2, -2;;;;;!1;;;Cornucopia/Young_Witch.jpg
Harvest;Cornucopia, 1E;Action;$5;Reveal the top 4 cards of your deck, then discard them. +$1 per differently named card revealed.;;;;+$X;;;;;;Cornucopia_1E/Harvest.jpg
Horn of Plenty;Cornucopia;Treasure;$5;Gain a card costing up to $1 per differently named card you have in play (counting this). If it's a Victory card, trash this.;;;;;Self?;;;1;;Cornucopia/Horn_of_Plenty.jpg
Hunting Party;Cornucopia;Action;$5;+1 Card +1 Action Reveal your hand. Reveal cards from your deck until you reveal a card that isn’t a copy of one in your hand. Put it into your hand and discard the rest.;+1;+2;;;;;;;;Cornucopia/Hunting_Party.jpg
Jester;Cornucopia;Action - Attack;$5;"+$2 Each other player discards the top card of their deck. If it’s a Victory card they gain a Curse; otherwise they gain a copy of the discarded card or you do, your choice.";;;;+$2;;;!1?;!1?;;Cornucopia/Jester.jpg
Fairgrounds;Cornucopia;Victory;$6;Worth 2 per 5 differently named cards you have (round down).;;;;;;;;;X;Cornucopia/Fairgrounds.jpg
Bag of Gold;Cornucopia, 1E;Action - Prize;$0*;+1 Action Gain a Gold onto your deck. (This is not in the Supply.);+1;;;;;;;1;;Cornucopia_1E/Bag_of_Gold.jpg
Diadem;Cornucopia, 1E;Treasure - Prize;$0*;$2 +$1 per unused Action you have (Action, not Action card). (This is not in the Supply.);;;;+$2, +$X;;;;;;Cornucopia_1E/Diadem.jpg
Followers;Cornucopia, 1E;Action - Attack - Prize;$0*;+2 Cards Gain an Estate. Each other player gains a Curse and discards down to 3 cards in hand. (This is not in the Supply.);;+2;;;;;1;1;(1 );Cornucopia_1E/Followers.jpg
Princess;Cornucopia, 1E;Action - Prize;$0*;+1 Buy This turn, cards cost $2 less. (This is not in the Supply.);;;+1;R2;;;;;;Cornucopia_1E/Princess.jpg
Trusty Steed;Cornucopia, 1E;Action - Prize;$0*;"Choose two: +2 Cards; or +2 Actions; or +$2; or gain 4 Silvers and put your deck into your discard pile. The choices must be different. (This is not in the Supply.)";+2?;+2?;;+$2?;;;;4?;;Cornucopia_1E/Trusty_Steed.jpg
Crossroads;Hinterlands;Action;$2;Reveal your hand. +1 Card per Victory card revealed. If this is the first time you played a Crossroads this turn, +3 Actions.;!+3;+X;;;;;;;;Hinterlands/Crossroads.jpg
Duchess;Hinterlands, 1E;Action;$2;+$2. Each player (including you) looks at the top card of their deck and may discard it.In games using this, when you gain a Duchy, you may gain a Duchess.;;;;+$2;;;;**Self;;Hinterlands_1E/Duchess.jpg
Fool's Gold;Hinterlands;Treasure - Reaction;$2;If this is the first time you played a Fool's Gold this turn, +$1, otherwise +$4.When another player gains a Province, you may trash this from your hand, to gain a Gold onto your deck.;;;;+$1, !+$3;**Self;;;**1;;Hinterlands/Fool's_Gold.jpg
Develop;Hinterlands;Action;$3;Trash a card from your hand. Gain two cards onto your deck, with one costing exactly $1 more than it, and one costing exactly $1 less than it, in either order.;;;;;1;;;2;;Hinterlands/Develop.jpg
Guard Dog;Hinterlands, 2E;Action - Reaction;$3;+2 Cards If you have 5 or fewer cards in hand, +2 Cards.When another player plays an Attack, you may first play this from your hand.;**Pself;+2, !+2;;;;;;;;Hinterlands_2E/Guard_Dog.jpg
Oasis;Hinterlands;Action;$3;+1 Card +1 Action +$1 Discard a card.;+1;+1, -1;;+$1;;;;;;Hinterlands/Oasis.jpg
Oracle;Hinterlands, 1E;Action - Attack;$3;Each player (including you) reveals the top 2 cards of their deck, and discards them or puts them back, your choice (they choose the order). Then, +2 Cards.;;+2;;;;;;;;Hinterlands_1E/Oracle.jpg
Scheme;Hinterlands;Action;$3;+1 Card +1 Action This turn, you may put one of your Action cards onto your deck when you discard it from play.;+1;+1;;;;;;;;Hinterlands/Scheme.jpg
Tunnel;Hinterlands;Victory - Reaction;$3;2 When you discard this other than during Clean-up, you may reveal it to gain a Gold.;;;;;;;;!1;2;Hinterlands/Tunnel.jpg
Jack of All Trades;Hinterlands;Action;$4;"Gain a Silver. Look at the top card of your deck; you may discard it. Draw until you have 5 cards in hand. You may trash a non-Treasure card from your hand.";;=5;;;1?;;;1;;Hinterlands/Jack_of_All_Trades.jpg
Noble Brigand;Hinterlands, 1E;Action - Attack;$4;+$1 Each other player reveals the top 2 cards of their deck, trashes a revealed Silver or Gold you choose, discards the rest, and gains a Copper if they didn't reveal a Treasure. You gain the trashed cards.When you buy this, do its attack.;;;;+$1;;;1? *1?;X *X;;Hinterlands_1E/Noble_Brigand.jpg
Nomad Camp;Hinterlands, 1E;Action;$4;+1 Buy +$2This is gained onto your deck (instead of to your discard pile).;;;+1;+$2;;;;;;Hinterlands_1E/Nomad_Camp.jpg
Nomads;Hinterlands, 2E;Action;$4;+1 Buy +$2When you gain or trash this, +$2.;;;+1;+$2 *+$2;;;;;;Hinterlands_2E/Nomads.jpg
Silk Road;Hinterlands, 1E;Victory;$4;Worth 1 for every 4 Victory cards you have (round down).;;;;;;;;;X;Hinterlands_1E/Silk_Road.jpg
Spice Merchant;Hinterlands;Action;$4;"You may trash a Treasure from your hand to choose one: +2 Cards and +1 Action; or +1 Buy and +$2.";!+1?;!+2?;!+1?;!+$2?;1?;;;;;Hinterlands/Spice_Merchant.jpg
Trader;Hinterlands;Action - Reaction;$4;Trash a card from your hand. Gain a Silver per $1 it costs.When you gain a card, you may reveal this from your hand, to exchange the card for a Silver.;;;;;1;;;X;;Hinterlands/Trader.jpg
Trail;Hinterlands, 2E;Action - Reaction;$4;+1 Card +1 ActionWhen you gain, trash, or discard this, other than in Clean-up, you may play it.;+1 *Pself;+1;;;;;;;;Hinterlands_2E/Trail.jpg
Weaver;Hinterlands, 2E;Action - Reaction;$4;Gain two Silvers or a card costing up to $4.When you discard this other than in Clean-up, you may play it.;*Pself;;;;;;;1-2?;;Hinterlands_2E/Weaver.jpg
Berserker;Hinterlands, 2E;Action - Attack;$5;Gain a card costing less than this. Each other player discards down to 3 cards in hand.When you gain this, if you have an Action in play, play this.;*Pself;;;;;;;1;;Hinterlands_2E/Berserker.jpg
Cache;Hinterlands, 1E;Treasure;$5;$3When you gain this, gain 2 Coppers.;;;;+$3;;;2Self;2;;Hinterlands_1E/Cache.jpg
Cartographer;Hinterlands;Action;$5;+1 Card +1 Action Look at the top 4 cards of your deck. Discard any number of them, then put the rest back in any order.;+1;+1;;;;;;;;Hinterlands/Cartographer.jpg
Cauldron;Hinterlands, 2E;Treasure - Attack;$5;$2 +1 Buy The third time you gain an Action this turn, each other player gains a Curse.;;;+1;+$2;;;!1;;;Hinterlands_2E/Cauldron.jpg
Embassy;Hinterlands, 1E;Action;$5;+5 Cards Discard 3 cards.When you gain this, each other player gains a Silver.;;+5, -3;;;;;;;;Hinterlands_1E/Embassy.jpg
Haggler;Hinterlands;Action;$5;+$2 This turn, when you gain a card, if you bought it, gain a cheaper non-Victory card.;;;;+$2;;;;X;;Hinterlands/Haggler.jpg
Highway;Hinterlands;Action;$5;+1 Card +1 Action This turn, cards cost $1 less.;+1;+1;;R1;;;;;;Hinterlands/Highway.jpg
Ill-Gotten Gains;Hinterlands, 1E;Treasure;$5;$1 You may gain a Copper to your hand.When you gain this, each other player gains a Curse.;;(+1)?;;+$1;;;Self? *1;1?;;Hinterlands_1E/Ill-Gotten_Gains.jpg
Inn;Hinterlands;Action;$5;+2 Cards +2 Actions Discard 2 cards.When you gain this, reveal any number of Action cards from your discard pile and shuffle them into your deck.;+2;+2, -2;;;;;;;;Hinterlands/Inn.jpg
Mandarin;Hinterlands, 1E;Action;$5;+$3 Put a card from your hand onto your deck.When you gain this, put all Treasures you have in play onto your deck in any order.;;-1;;+$3;;;;;;Hinterlands_1E/Mandarin.jpg
Margrave;Hinterlands;Action - Attack;$5;+3 Cards +1 Buy Each other player draws a card, then discards down to 3 cards in hand.;;+3;+1;;;;;;;Hinterlands/Margrave.jpg
Souk;Hinterlands, 2E;Action;$5;+1 Buy +$7 –$1 per card in your hand (you can't go below $0).When you gain this, trash up to 2 cards from your hand.;;;+1;+$7, -$X;*0-2?;;;;;Hinterlands_2E/Souk.jpg
Stables;Hinterlands;Action;$5;You may discard a Treasure, for +3 Cards and +1 Action.;!+1;-1?, !+3;;;;;;;;Hinterlands/Stables.jpg
Wheelwright;Hinterlands, 2E;Action;$5;+1 Card +1 Action You may discard a card to gain an Action card costing as much as it or less.;+1;+1, -1?;;;;;;!1;;Hinterlands_2E/Wheelwright.jpg
Witch's Hut;Hinterlands, 2E;Action - Attack;$5;+4 Cards Discard 2 cards, revealed. If they're both Actions, each other player gains a Curse.;;+4, -2;;;;;!1;;;Hinterlands_2E/Witch's_Hut.jpg
Border Village;Hinterlands;Action;$6;+1 Card +2 ActionsWhen you gain this, gain a cheaper card.;+2;+1;;;;;;*1;;Hinterlands/Border_Village.jpg
Farmland;Hinterlands;Victory;$6;2 When you gain this, trash a card from your hand and gain a non-Farmland card costing exactly $2 more than it.;;;;;*1;;;*1;2;Hinterlands/Farmland.jpg
Poor House;Dark Ages;Action;$1;+$4 Reveal your hand. –$1 per Treasure card in your hand. (You can't go below $0.);;;;+$4, -$X;;;;;;Dark Ages/Poor_House.jpg
Beggar;Dark Ages;Action - Reaction;$2;Gain 3 Coppers to your hand.When another player plays an Attack card, you may first discard this to gain 2 Silvers, putting one onto your deck.;;(+3);;(+$3);;;3Self;3 *2;;Dark Ages/Beggar.jpg
Squire;Dark Ages;Action;$2;"+$1 Choose one: +2 Actions; or +2 Buys; or gain a Silver.When you trash this, gain an Attack card.";+2?;;+2?;+$1;;;;1? *1;;Dark Ages/Squire.jpg
Vagrant;Dark Ages;Action;$2;+1 Card +1 Action Reveal the top card of your deck. If it’s a Curse, Ruins, Shelter, or Victory card, put it into your hand.;+1;+1, !+1;;;;;;;;Dark Ages/Vagrant.jpg
Forager;Dark Ages;Action;$3;+1 Action +1 Buy Trash a card from your hand, then +$1 per differently named Treasure in the trash.;+1;;+1;+$X;1;;;;;Dark Ages/Forager.jpg
Hermit;Dark Ages;Action;$3;Look through your discard pile. You may trash a non-Treasure from it or from your hand. Gain a card costing up to $3. At the end of your Buy phase this turn, if you didn't gain any cards in it, exchange this for a Madman.;;;;;1?, !*Self;;;1, !1;;Dark Ages/Hermit.jpg
Market Square;Dark Ages;Action - Reaction;$3;+1 Card +1 Action +1 BuyWhen one of your cards is trashed, you may discard this from your hand to gain a Gold.;+1;+1;+1;;;;;*1;;Dark Ages/Market_Square.jpg
Sage;Dark Ages;Action;$3;+1 Action Reveal cards from the top of your deck until you reveal one costing $3 or more. Put that card into your hand and discard the rest.;+1;+1;;;;;;;;Dark Ages/Sage.jpg
Storeroom;Dark Ages;Action;$3;+1 Buy Discard any number of cards, then draw that many. Then discard any number of cards for +$1 each.;;-Y, +Y, -X;+1;+$X;;;;;;Dark Ages/Storeroom.jpg
Urchin;Dark Ages;Action - Attack;$3;+1 Card +1 Action Each other player discards down to 4 cards in hand.When you play another Attack card with this in play, you may first trash this, to gain a Mercenary.;+1;+1;;;!Self?;;;!1;;Dark Ages/Urchin.jpg
Armory;Dark Ages;Action;$4;Gain a card onto your deck costing up to $4.;;;;;;;;1;;Dark Ages/Armory.jpg
Death Cart;Dark Ages;Action - Looter;$4;You may trash this or an Action card from your hand, for +$5.When you gain this, gain 2 Ruins.;;;;+$5;1 or Self?;;2Self;2;;Dark Ages/Death_Cart.jpg
Feodum;Dark Ages;Victory;$4;Worth 1 per 3 Silvers you have (round down).When you trash this, gain 3 Silvers.;;;;;;;;*3;X;Dark Ages/Feodum.jpg
Fortress;Dark Ages;Action;$4;+1 Card +2 ActionsWhen you trash this, put it into your hand.;+2;+1 *(+Self);;;;;;*(1);;Dark Ages/Fortress.jpg
Ironmonger;Dark Ages;Action;$4;"+1 Card +1 Action Reveal the top card of your deck; you may discard it. Either way, if it is an... Action card, +1 Action Treasure card, +$1 Victory card, +1 Card";+1, !+1;+1, !+1;;!+$1;;;;;;Dark Ages/Ironmonger.jpg
Marauder;Dark Ages;Action - Attack - Looter;$4;Gain a Spoils. Each other player gains a Ruins.;;;;;;;1;1;;Dark Ages/Marauder.jpg
Procession;Dark Ages;Action;$4;You may play a non-Duration Action card from your hand twice. Trash it. Gain an Action card costing exactly $1 more than it.;P2?;;;;!1;;;!1;;Dark Ages/Procession.jpg
Rats;Dark Ages;Action;$4;+1 Card +1 Action Gain a Rats. Trash a card from your hand other than a Rats (or reveal a hand of all Rats).When you trash this, +1 Card.;+1;+1 *1;;;1;;;1;;Dark Ages/Rats.jpg
Scavenger;Dark Ages;Action;$4;+$2 You may put your deck into your discard pile. Look through your discard pile and put one card from it onto your deck.;;;;+$2;;;;;;Dark Ages/Scavenger.jpg
Wandering Minstrel;Dark Ages;Action;$4;+1 Card +2 Actions Reveal the top 3 cards of your deck. Put the Action cards back in any order and discard the rest.;+2;+1;;;;;;;;Dark Ages/Wandering_Minstrel.jpg
Band of Misfits;Dark Ages;Action - Command;$5;Play a non-Command Action card from the Supply that costs less than this, leaving it there.;(P1);;;;;;;;;Dark Ages/Band_of_Misfits.jpg
Bandit Camp;Dark Ages;Action;$5;+1 Card +2 Actions Gain a Spoils.;+2;+1;;;;;;1;;Dark Ages/Bandit_Camp.jpg
Catacombs;Dark Ages;Action;$5;"Look at the top 3 cards of your deck. Choose one: Put them into your hand; or discard them and +3 Cards.When you trash this, gain a cheaper card.";;+3;;;;;;*1;;Dark Ages/Catacombs.jpg
Count;Dark Ages;Action;$5;"Choose one: Discard 2 cards; or put a card from your hand onto your deck; or gain a Copper. Choose one: +$3; or trash your hand; or gain a Duchy.";;-1?, -2?;;+$3?;X?;;Self?;1?, 1?;(3 ?);Dark Ages/Count.jpg
Counterfeit;Dark Ages;Treasure;$5;$1 +1 Buy You may play a non-Duration Treasure from your hand twice. Trash it.;;;+1;+$1, P2?;!1;;;;;Dark Ages/Counterfeit.jpg
Cultist;Dark Ages;Action - Attack - Looter;$5;+2 Cards Each other player gains a Ruins. You may play a Cultist from your hand.When you trash this, +3 Cards.;P1?;+2 *+3;;;;;1;;;Dark Ages/Cultist.jpg
Graverobber;Dark Ages;Action;$5;"Choose one: Gain a card from the trash costing from $3 to $6, onto your deck; or trash an Action card from your hand and gain a card costing up to $3 more than it.";;;;;1?;;;1?;;Dark Ages/Graverobber.jpg
Junk Dealer;Dark Ages;Action;$5;+1 Card +1 Action +$1 Trash a card from your hand.;+1;+1;;+$1;1;;;;;Dark Ages/Junk_Dealer.jpg
Mystic;Dark Ages;Action;$5;+1 Action +$2 Name a card, then reveal the top card of your deck. If you named it, put it into your hand.;+1;!+1;;+$2;;;;;;Dark Ages/Mystic.jpg
Pillage;Dark Ages;Action - Attack;$5;Trash this. If you did, gain 2 Spoils, and each other player with 5 or more cards in hand reveals their hand and discards a card that you choose.;;;;;Self;;;2;;Dark Ages/Pillage.jpg
Rebuild;Dark Ages;Action;$5;+1 Action  Name a card. Reveal cards from your deck until you reveal a Victory card you did not name. Discard the rest, trash the Victory card, and gain a Victory card costing up to $3 more than it.;+1;;;;1;;;1;;Dark Ages/Rebuild.jpg
Rogue;Dark Ages;Action - Attack;$5;+$2 If there are any cards in the trash costing from $3 to $6, gain one of them. Otherwise, each other player reveals the top 2 cards of their deck, trashes one of them costing from $3 to $6, and discards the rest.;;;;+$2;;;;!1;;Dark Ages/Rogue.jpg
Altar;Dark Ages;Action;$6;Trash a card from your hand. Gain a card costing up to $5.;;;;;1;;;1;;Dark Ages/Altar.jpg
Hunting Grounds;Dark Ages;Action;$6;+4 CardsWhen you trash this, gain a Duchy or 3 Estates.;;+4;;;;;;*1 or 3;*(3 );Dark Ages/Hunting_Grounds.jpg
Abandoned Mine;Dark Ages;Action - Ruins;$0;+$1;;;;+$1;;;;;;Dark Ages/Abandoned_Mine.jpg
Ruined Library;Dark Ages;Action - Ruins;$0;+1 Card;;+1;;;;;;;;Dark Ages/Ruined_Library.jpg
Ruined Market;Dark Ages;Action - Ruins;$0;+1 Buy;;;+1;;;;;;;Dark Ages/Ruined_Market.jpg
Ruined Village;Dark Ages;Action - Ruins;$0;+1 Action;+1;;;;;;;;;Dark Ages/Ruined_Village.jpg
Survivors;Dark Ages;Action - Ruins;$0;Look at the top 2 cards of your deck. Discard them or put them back in any order.;;;;;;;;;;Dark Ages/Survivors.jpg
Dame Anna;Dark Ages;Action - Attack - Knight;$5;You may trash up to 2 cards from your hand. Each other player reveals the top 2 cards of their deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this.;;;;;0-2?, !Self;;;;;Dark Ages/Dame_Anna.jpg
Dame Josephine;Dark Ages;Action - Attack - Victory - Knight;$5;Each other player reveals the top 2 cards of their deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this.2;;;;;!Self;;;;2;Dark Ages/Dame_Josephine.jpg
Dame Molly;Dark Ages;Action - Attack - Knight;$5;+2 Actions Each other player discards the top 2 cards of their deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this.;+2;;;;!Self;;;;;Dark Ages/Dame_Molly.jpg
Dame Natalie;Dark Ages;Action - Attack - Knight;$5;You may gain a card costing up to $3. Each other player reveals the top 2 cards of their deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this.;;;;;!Self;;;1?;;Dark Ages/Dame_Natalie.jpg
Dame Sylvia;Dark Ages;Action - Attack - Knight;$5;+$2 Each other player reveals the top 2 cards of their deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this.;;;;+$2;!Self;;;;;Dark Ages/Dame_Sylvia.jpg
Sir Bailey;Dark Ages;Action - Attack - Knight;$5;+1 Card +1 Action Each other player reveals the top 2 cards of their deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this.;+1;+1;;;!Self;;;;;Dark Ages/Sir_Bailey.jpg
Sir Destry;Dark Ages;Action - Attack - Knight;$5;+2 Cards Each other player reveals the top 2 cards of their deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this.;;+2;;;!Self;;;;;Dark Ages/Sir_Destry.jpg
Sir Martin;Dark Ages;Action - Attack - Knight;$4;+2 Buys Each other player reveals the top 2 cards of their deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this.;;;+2;;!Self;;;;;Dark Ages/Sir_Martin.jpg
Sir Michael;Dark Ages;Action - Attack - Knight;$5;Each other player discards down to 3 cards in hand. Each other player reveals the top 2 cards of their deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this.;;;;;!Self;;;;;Dark Ages/Sir_Michael.jpg
Sir Vander;Dark Ages;Action - Attack - Knight;$5;Each other player reveals the top 2 cards of their deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this.When you trash this, gain a Gold.;;;;;!Self;;;*1;;Dark Ages/Sir_Vander.jpg
Madman;Dark Ages;Action;$0*;+2 Actions Return this to the Madman pile. If you do, +1 Card per card in your hand. (This is not in the Supply.);+2;+X;;;Self;;;;;Dark Ages/Madman.jpg
Mercenary;Dark Ages;Action - Attack;$0*;You may trash 2 cards from your hand. If you did, +2 Cards, +$2, and each other player discards down to 3 cards in hand. (This is not in the Supply.);;!+2;;!+$2;2?;;;;;Dark Ages/Mercenary.jpg
Spoils;Dark Ages;Treasure;$0*;$3 When you play this, return it to the Spoils pile. (This is not in the Supply.);;;;+$3;Self;;;;;Dark Ages/Spoils.jpg
Hovel;Dark Ages;Reaction - Shelter;$1;When you gain a Victory card, you may trash this from your hand.;;;;;*Self;;;;;Dark Ages/Hovel.jpg
Necropolis;Dark Ages;Action - Shelter;$1;+2 Actions;+2;;;;;;;;;Dark Ages/Necropolis.jpg
Overgrown Estate;Dark Ages;Victory - Shelter;$1;0 When you trash this, +1 Card.;;*+1;;;;;;;;Dark Ages/Overgrown_Estate.jpg
Candlestick Maker;Guilds;Action;$2;+1 Action +1 Buy +1 Coffers;+1;;+1;+$1;;;;;;Guilds/Candlestick_Maker.jpg
Stonemason;Guilds;Action;$2+;Trash a card from your hand. Gain 2 cards each costing less than it.Overpay: Gain 2 Action cards each costing the amount overpaid.;;;;;1;;;2 *2?;;Guilds/Stonemason.jpg
Doctor;Guilds, 1E;Action;$3+;"Name a card. Reveal the top 3 cards of your deck. Trash the matches. Put the rest back in any order.Overpay: Per $1 overpaid, look at the top card of your deck; trash it, discard it, or put it back.";;;;;!0-3 *X;;;;;Guilds_1E/Doctor.jpg
Masterpiece;Guilds, 1E;Treasure;$3+;$1Overpay: Gain a Silver per $1 overpaid.;;;;+$1;;;;*X;;Guilds_1E/Masterpiece.jpg
Advisor;Guilds;Action;$4;+1 Action Reveal the top 3 cards of your deck. The player to your left chooses one of them. Discard that card and put the rest into your hand.;+1;+3, !-1;;;;;;;;Guilds/Advisor.jpg
Herald;Guilds;Action;$4+;+1 Card +1 Action Reveal the top card of your deck. If it's an Action, play it.Overpay: Per $1 overpaid, put any card from your discard pile onto your deck.;+1, !P1;+1;;;;;;;;Guilds/Herald.jpg
Plaza;Guilds;Action;$4;+1 Card +2 Actions You may discard a Treasure for +1 Coffers.;+2;+1, -1?;;!+$1;;;;;;Guilds/Plaza.jpg
Taxman;Guilds, 1E;Action - Attack;$4;You may trash a Treasure from your hand. Each other player with 5 or more cards in hand discards a copy of it (or reveals they can't). Gain a Treasure onto your deck costing up to $3 more than it.;;;;;1?;;;!1;;Guilds_1E/Taxman.jpg
Baker;Guilds;Action;$5;+1 Card +1 Action +1 CoffersSetup: Each player gets +1 Coffers.;+1;+1;;+$1;;;;;;Guilds/Baker.jpg
Butcher;Guilds;Action;$5;+2 Coffers You may trash a card from your hand, to gain a card, costing up to $1 more than it per Coffers you spend.;;;;+$2, -$X;1?;;;!1;;Guilds/Butcher.jpg
Journeyman;Guilds;Action;$5;Name a card. Reveal cards from your deck until you reveal 3 cards without that name. Put those cards into your hand and discard the rest.;;+3;;;;;;;;Guilds/Journeyman.jpg
Merchant Guild;Guilds;Action;$5;+1 Buy +$1 At the end of your Buy phase this turn, +1 Coffers per card you gained in it.;;;+1;+$1 *+$X;;;;;;Guilds/Merchant_Guild.jpg
Soothsayer;Guilds;Action - Attack;$5;Gain a Gold. Each other player gains a Curse, and if they did, draws a card.;;;;;;;1;1;;Guilds/Soothsayer.jpg
Farrier;Cornucopia & Guilds, 2E;Action;$2+;+1 Card +1 Action +1 BuyOverpay: +1 Card at the end of this turn per $1 overpaid.;+1;+1, *+X;+1;;;;;;;Cornucopia & Guilds_2E/Farrier.jpg
Shop;Cornucopia & Guilds, 2E;Action;$3;+1 Card +$1 You may play an Action card from your hand that you don't have a copy of in play.;P1?;+1;;+$1;;;;;;Cornucopia & Guilds_2E/Shop.jpg
Infirmary;Cornucopia & Guilds, 2E;Action;$3+;+1 Card You may trash a card from your hand.Overpay: Play this once per $1 overpaid.;*PselfX;+1;;;1?;;;;;Cornucopia & Guilds_2E/Infirmary.jpg
Farmhands;Cornucopia & Guilds, 2E;Action;$4;+1 Card +2 ActionWhen you gain this, you may set aside an Action or Treasure from your hand, and play it at the start of your next turn.;+2, N P1?;+1;;;;;;;;Cornucopia & Guilds_2E/Farmhands.jpg
Carnival;Cornucopia & Guilds, 2E;Action;$5;Reveal the top 4 cards of your deck. Put one of each differently named card into your hand and discard the rest.;;+ 1-4;;;;;;;;Cornucopia & Guilds_2E/Carnival.jpg
Ferryman;Cornucopia & Guilds, 2E;Action;$5;+2 Cards +1 Action Discard a card.Setup: Choose an unused Kingdom card pile costing $3 or $4. Gain one when you gain a Ferryman.;+1;+2, -1;;;;;;*1;;Cornucopia & Guilds_2E/Ferryman.jpg
Footpad;Cornucopia & Guilds, 2E;Action - Attack;$5;+2 Coffers Each other player discards down to 3 cards in hand.In games using this, when you gain a card in an Action phase, +1 Card.;;N... **+X;;+$2;;;;;;Cornucopia & Guilds_2E/Footpad.jpg
Joust;Cornucopia & Guilds, 2E;Action;$5;+1 Card +1 Action +$1 You may set aside a Province from your hand to gain any Reward to your hand. Discard the Province in Clean-up.;+1;+1, !+1;;+$1;;;;!1;;Cornucopia & Guilds_2E/Joust.jpg
Coronet;Cornucopia & Guilds, 2E;Action - Treasure - Reward;$0*;You may play a non-Reward Action from your hand twice. You may play a non-Reward Treasure from your hand twice. (This is not in the Supply.);P2?;;;P2?;;;;;;Cornucopia & Guilds_2E/Coronet.jpg
Courser;Cornucopia & Guilds, 2E;Action - Reward;$0*;"Choose two different options: +2 Cards; +2 Actions; +$2; gain 4 Silvers. (This is not in the Supply.)";+2?;+2?;;+$2?;;;;4?;;Cornucopia & Guilds_2E/Courser.jpg
Demesne;Cornucopia & Guilds, 2E;Action - Victory - Reward;$0*;+2 Actions +2 Buys Gain a Gold.Worth 1 per Gold you have. (This is not in the Supply.);+2;;+2;;;;;1;X;Cornucopia & Guilds_2E/Demesne.jpg
Housecarl;Cornucopia & Guilds, 2E;Action - Reward;$0*;+1 Card per differently named Action card you have in play. (This is not in the Supply.);;+X;;;;;;;;Cornucopia & Guilds_2E/Housecarl.jpg
Huge Turnip;Cornucopia & Guilds, 2E;Treasure - Reward;$0*;+2 Coffers +$1 per Coffers you have. (This is not in the Supply.);;;;+$2, +$X;;;;;;Cornucopia & Guilds_2E/Huge_Turnip.jpg
Renown;Cornucopia & Guilds, 2E;Action - Reward;$0*;+1 Buy This turn, cards cost $2 less. (This is not in the Supply.);;;+1;R2;;;;;;Cornucopia & Guilds_2E/Renown.jpg
Coin of the Realm;Adventures;Treasure - Reserve;$2;$1 Put this on your Tavern mat.After you playn an Action card, you may call this, for +2 Actions.;C+2;;;+$1;;;;;;Adventures/Coin_of_the_Realm.jpg
Page;Adventures;Action - Traveller;$2;+1 Card +1 ActionWhen you discard this from play, you may exchange it for a Treasure Hunter.;+1;+1;;;Self?;;;;;Adventures/Page.jpg
Peasant;Adventures;Action - Traveller;$2;+1 Buy +$1When you discard this from play, you may exchange it for a Soldier.;;;+1;+$1;Self?;;;;;Adventures/Peasant.jpg
Ratcatcher;Adventures;Action - Reserve;$2;+1 Card +1 Action Put this on your Tavern mat.At the start of your turn, you may call this, to trash a card from your hand.;+1;+1;;;C1;;;;;Adventures/Ratcatcher.jpg
Raze;Adventures;Action;$2;+1 Action Trash this or a card from your hand. Look at one card from the top of your deck per $1 the trashed card costs. Put one of them into your hand and discard the rest.;+1;!+1;;;1 or Self?;;;;;Adventures/Raze.jpg
Amulet;Adventures;Action - Duration;$3;"Now and at the start of your next turn, choose one: +$1; or trash a card from your hand; or gain a Silver.";;;;+$1?, N +$1?;1?, N 1?;;;1?, N 1?;;Adventures/Amulet.jpg
Caravan Guard;Adventures;Action - Duration - Reaction;$3;+1 Card +1 Action At the start of your next turn, +$1.When another player plays an Attack card, you may first play this from your hand.;+1 **Pself;+1;;N +$1;;;;;;Adventures/Caravan_Guard.jpg
Dungeon;Adventures;Action - Duration;$3;+1 Action Now and at the start of your next turn: +2 Cards, then discard 2 cards.;+1;+2, -2, N +2, N -2;;;;;;;;Adventures/Dungeon.jpg
