CSO1;CSO2;Rule
caravan_guard;way_of_the_mule;"When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Mule. Remember that +$ and + Action can't normally be used on other player's turns.
If you play an Attack card and your opponent reacts with a Caravan Guard, you may then again choose whether to play the Attack normally, or using Way of the Mule."
caravan_guard;way_of_the_otter;"When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Otter.
If you play an Attack card and your opponent reacts with a Caravan Guard, you may then again choose whether to play the Attack normally, or using Way of the Otter."
caravan_guard;way_of_the_owl;"When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Owl.
If you play an Attack card and your opponent reacts with a Caravan Guard, you may then again choose whether to play the Attack normally, or using Way of the Owl."
caravan_guard;way_of_the_ox;"When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Ox. Remember that + Action can't normally be used on other player's turns.
If you play an Attack card and your opponent reacts with a Caravan Guard, you may then again choose whether to play the Attack normally, or using Way of the Ox."
caravan_guard;way_of_the_pig;"When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Pig. Remember that + Action can't normally be used on other player's turns.
If you play an Attack card and your opponent reacts with a Caravan Guard, you may then again choose whether to play the Attack normally, or using Way of the Pig."
caravan_guard;way_of_the_rat;"When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Rat.
If you play an Attack card and your opponent reacts with a Caravan Guard, you may then again choose whether to play the Attack normally, or using Way of the Rat."
caravan_guard;way_of_the_seal;"When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Seal. Remember that +$ can't normally be used on other player's turns.
If you play an Attack card and your opponent reacts with a Caravan Guard, you may then again choose whether to play the Attack normally, or using Way of the Seal."
caravan_guard;way_of_the_sheep;"When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Sheep. Remember that +$ can't normally be used on other player's turns.
If you play an Attack card and your opponent reacts with a Caravan Guard, you may then again choose whether to play the Attack normally, or using Way of the Sheep."
caravan_guard;way_of_the_squirrel;"When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Squirrel.
If you play an Attack card and your opponent reacts with a Caravan Guard, you may then again choose whether to play the Attack normally, or using Way of the Squirrel."
caravan_guard;way_of_the_turtle;"When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Turtle.
If you play an Attack card and your opponent reacts with a Caravan Guard, you may then again choose whether to play the Attack normally, or using Way of the Turtle."
caravan_guard;way_of_the_worm;"When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Worm.
If you play an Attack card and your opponent reacts with a Caravan Guard, you may then again choose whether to play the Attack normally, or using Way of the Worm."
cargo_ship;improve;If you play a Cargo Ship and don't set anything aside with it before your Clean-up phase, Improve can trash it because it's going to be discarded as far as you know at that point. However, trashing a card from play does not negate its instructions, so you can still set aside the card you gain from Improve (or another card you gain that turn) through the instructions of Cargo Ship.
carpenter;overlord;If you play Carpenter using Overlord, you can gain a Carpenter with it (despite Overlord saying 'leaving it there', as this just refers to the card moving into play).
castles;falconer;If your opponent gains Haunted Castle and you have a Falconer in hand, you first have to topdeck two cards, and only then can react the Falconer since the different things happen in turn order.
castles;ferry;You can never put the -$2 token on the Castles pile (even with Small or Opulent Castle on top) because they are only a Victory Supply pile, not an Action supply pile.
castles;ferryman;Ferryman/Castles---[Only in set-aside case] When you set aside the Castles pile with Ferryman, the next player to gain a Ferryman will gain the top card of the pile with it.
castles;forts;When you gain Grand Castle, you get points for opponent's Strongholds because they are in play.
castles;haunted_woods;If you buy a Grand Castle while under the Haunted Woods attack, you can choose whether to first reveal your hand for VP, or whether to first topdeck your hand.
castles;inheritance;When you gain Grand Castle, you get points for opponent's Estates if they are in play because they inherited a Duration.
castles;invest;You can Invest in Small Castle or Opulent Castle if it's on top, but would only draw cards if an opponent gained a copy of it (which is not possible in 2-player mode).
castles;lost_arts;You can never put the + Action token on the Castles pile (even with Small or Opulent Castle on top) because they are only a Victory Supply pile, not an Action supply pile.
castles;monkey;If you have played a Monkey and your opponent gains a Haunted Castle, you first topdeck two cards, and then draw due to Monkey since the different things happen in turn order.
castles;necromancer;If you play Small Castle using Necromancer and try to trash itself, it stays where it was, and you do not get the effect you would have gotten from trashing it.
castles;overlord;If you play Small Castle using Overlord and try to trash itself, it stays where it was, and you do not get the effect you would have gotten from trashing it.
castles;pathfinding;You can never put the + Card token on the Castles pile (even with Small or Opulent Castle on top) because they are only a Victory Supply pile, not an Action supply pile.
castles;patron;If you gain a Grand Castle during your Buy phase and reveal a Patron from your hand, you will not get +1 Coffers since it's not an Action phase.
castles;peasant;You can never put any token on the Castles pile (even with Small or Opulent Castle on top) using Teacher because they are only a Victory Supply pile, not an Action supply pile.
castles;plan;You can never put the trashing token on the Castles pile (even with Small or Opulent Castle on top) because they are only a Victory Supply pile, not an Action supply pile.
castles;populate;Buying Populate will never gain any Castle, even if Small Castle or Opulent Castle is on top, since the Castles are not an Action supply pile.
castles;road_network;If you have bought Road Network and your opponent gains a Haunted Castle, you first topdeck two cards, and then draw due to Road Network since the different things happen in turn order.
castles;seaway;You can never put the + Buy token on the Castles pile (even with Small or Opulent Castle on top) because they are only a Victory Supply pile, not an Action supply pile.
castles;training;You can never put the + $1 token on the Castles pile (even with Small or Opulent Castle on top) because they are only a Victory Supply pile, not an Action supply pile.
catacombs;townsfolk;If you play a Catacombs using Elder, you put the looked-at cards into your hand, but then have to immediately discard them (from your hand), and then draw three different cards.
catapult/rocks;ferry;You may put the -$2 token on the Catapult/Rocks pile using Ferry. This will affect all of its cards.
catapult/rocks;ferryman;Ferryman/Catapult/Rocks---[Only in set-aside case] When you set aside the Catapult/Rocks pile with Ferryman, the next player to gain a Ferryman will gain the top card of the pile with it.
catapult/rocks;lost_arts;You may put the + Action token on the Catapult/Rocks pile using Lost Arts. This will affect all of its cards.
catapult/rocks;pathfinding;You may put the + Card token on the Catapult/Rocks pile using Pathfinding. This will affect all of its cards.
catapult/rocks;peasant;You may put any token on the Catapult/Rocks pile using Teacher. This will affect all of its cards.
catapult/rocks;plan;You may put the trashing token on the Catapult/Rocks pile using Plan. This will affect all of its cards.
catapult/rocks;populate;Buying Populate will gain the top card of the Catapult/Rocks pile, even if it's not an Action card.
catapult/rocks;seaway;You may put the + Buy token on the Catapult/Rocks pile using Seaway. This will affect all of its cards.
catapult/rocks;training;You may put the + $1 token on the Catapult/Rocks pile using Training. This will affect all of its cards.
cavalry;demand;If you Demand a Cavalry, you will gain a Horse and the Cavalry on top of your deck, then draw them, and return to your Action phase.
cavalry;exploration;When you return to your Action phase using Cavalry, you are ending your Buy phase but gain a card at the same time, so Exploration can't trigger. Exploration can still trigger at the end of a future buy phase.
cavalry;footpad;If you return to your Action phase using Cavalry, you are still gaining the card during the Buy phase, so Footpad's ability doesn't trigger.
cavalry;gatekeeper;If you return to your Action phase using Cavalry, you get to choose whether you first resolve Cavalry or Gatekeeper.
cavalry;harsh_winter;When you gain Horses during your turn via cavalry while Harsh Winter is active, you add or remove Debt for the Horse pile.
cavalry;haunted_woods;If you buy a Cavalry while under the Haunted Woods attack, you can choose whether to first draw two cards and then topdeck your hand, or whether to first topdeck your hand and then draw.
cavalry;hermit;When you return to your Action phase using Cavalry, you are ending your Buy phase but gain a card at the same time, so Hermit can't trigger. Hermit can still trigger at the end of a future buy phase.
cavalry;merchant_guild;When you return to your Action phase using Cavalry, you are ending your Buy phase, so Merchant Guild can trigger.
cavalry;pageant;When you return to your Action phase using Cavalry, you are ending your Buy phase, so Pageant can trigger.
cavalry;river_shrine;You can only gain cards via River Shrine if you didn't gain any cards in any buy phase during your turn. Therefore, you can never do so after buying Cavalry, even if you don't gain cards in your last buy phase.
cavalry;treasury;When you return to your Action phase using Cavalry, you are ending your Buy phase, so Treasury can trigger.
cavalry;wine_merchant;When you return to your Action phase using Cavalry, you are ending your Buy phase, so Wine Merchant can trigger.
cave_dwellers;clerk;"You may react Clerks both before and after using Favors for Cave Dwellers, but not in-between; you could e.g. react Clerk, use Cave Dwellers two times, and then react another Clerk you've just drawn. After that, you may not use Cave Dwellers again."
cemetery;harsh_winter;When you somehow gain Cemetery (e.g. via Shaman or Treasurer) during your turn while Harsh Winter is active, since it does not have a pile, you do not add or remove Debt anywhere.
cemetery;haunted_woods;If you buy a Cemetery while under the Haunted Woods attack, you can choose whether to first trash cards from your hand, or whether to first topdeck your hand.
chancellor;faithful_hound;Playing Chancellor with a Faithful Hound in your deck does not count as discarding Faithful Hound, so you do not get to react.
chancellor;trail;Playing Chancellor with a Trail in your deck does not count as discarding Trail, so you do not get to react.
chancellor;tunnel;Playing Chancellor with a Tunnel in your deck does not count as discarding Tunnel, so you do not get to react.
chancellor;village_green;Playing Chancellor with a Village Green in your deck does not count as discarding Village Green, so you do not get to react.
chancellor;weaver;Playing Chancellor with a Weaver in your deck does not count as discarding Weaver, so you do not get to react.
change;fisherman;It is occasionally possible for cost reduction to make the gained card cost less $ than the trashed card after gaining. In this case the D incurred is the absolute value of the new $ difference. For example, if you trash a $2 Fisherman and gain a Silver, the Fisherman now costs $5, and you take 2D.
change;overlord;If you play Change using Overlord, trashing an appropriate card from your hand, you can gain another Change with it (despite Overlord saying 'leaving it there', as this just refers to the card moving into play).
change;possession;When you play Change while Possessing an opponent, trash one of their cards, and gain a card costing more $ than it, since they never gain it, they would never gain debt from that play. Therefore, you also don't gain any debt from it.
changeling;city-state;If you play a gained card using City-State, you cannot exchange it for a Changeling afterwards. Conversely, you cannot play it anymore after having exchanged it for a Changeling.
changeling;farmland;If you gain a Farmland and exchange it for a Changeling, you will still have to trash a card from your hand and gain one costing exactly $2 more than the trashed card.
changeling;ferryman;Ferryman/Changeling---When you gain a card that was set aside with Ferryman, you may exchange it for a Changeling and return the card to the set aside pile.
changeling;gondola;When gaining a Gondola, you can both exchange it for a Changeling and make use of its on-gain effect.
changeling;harsh_winter;When you exchange a card you gain with Changeling while Harsh Winter is active, Harsh Winter does not apply to the Changeling pile. However, since you still gained a card from the original pile, you do add or remove Debt for that pile.
changeling;infirmary;If you overpay for an Infirmary and exchange it for a Changeling, you cannot play it and vice versa.
changeling;innovation;If you play a gained card using Innovation, you cannot exchange it for a Changeling afterwards. Conversely, you cannot play it anymore after having exchanged it for a Changeling.
changeling;rush;If you play a gained card using Rush, you cannot exchange it for a Changeling afterwards. Conversely, you cannot play it anymore after having exchanged it for a Changeling.
changeling;sculptor;If you play Sculptor to gain a Treasure and exchange it for a Changeling, will still get the Villager (but the Changeling will be gained to your discard pile).
changeling;silk_merchant;If you gain Silk Merchant and exchange it for a Changeling, will still get the Coffers and Villager (but the Changeling will be gained to your discard pile).
changeling;spell_scroll;If you play a gained card using Spell Scroll, you cannot exchange it for a Changeling afterwards. Conversely, you cannot play it anymore after having exchanged it for a Changeling.
charm;destrier;"If you choose the 'Gain Card with same cost' option for two Charms and then buy a Destrier (e.g. costing $6 at that moment), you will first gain the Destrier, then another card costing $5, then one costing $4 (and Destriers will cost $3).
If, after playing Charms, you gain some other card costing $6, you may not gain a Destrier that cost $6 prior to that as it will change its cost to $5 due to the gain."
charm;fisherman;If you choose the 'Gain Card with same cost' option for Charm and then gain a Fisherman costing $2 (and it goes to your discard pile), you will be able to gain a $5-cost card from Charm. Conversely, you could gain a $5-cost card first (to your discard pile), and then gain Fisherman off the Charm.
charm;gatekeeper;If you gain two or more copies of the same card upon gain with Charm while under the Gatekeeper attack, if you don't already have a copy in Exile, you need to exile the first, but may discard the exiled copy along with the gain of the last copy.
charm;spell_scroll;When you play a Charm by gaining it via Spell Scroll and choose the 'gain another card' option, you will not gain another $5 cost card due to its 'Next Time' wording. Instead, you'll gain a differently named card with the same cost for the next card you gain.
charm;wayfarer;If you choose the 'Gain Card with same cost' option, you will always (unless you gain another card in-between somehow with e.g. Haggler) be able to gain a Wayfarer off of any card you gain next, since Wayfarer changes its cost to said card. This even works with Debt and Potion cost cards.
cheap;plateau_shepherds;[Relevant if Cheap is on $3 or $2 cost card] If Cheap is assigned to a card initially costing $3, it becomes a $2 cost card as far as Plateau Shepherds (PS) is concerned. Conversely, a card reduced to costing $1 due to Cheap will not be eligible for PS anymore.
citadel;urchin;If you play an Urchin multiple times using Citadel, you may not trash this Urchin, since you need to play *another* attack card to be able to trash it.
city-state;colonnade;If you use City-State to immediately play an Action you gained, you can take 2 VP from Colonnade.
city-state;crafters_guild;When you gain a card using Crafter's Guild and immediately play it using City-State, you will not be able to topdeck it.
city-state;demand;When you gain a card using Demand and immediately play it using City-State, you will not be able to topdeck it.
city-state;develop;When you gain a card using Develop and immediately play it using City-State, you will not be able to topdeck it.
city-state;duplicate;When you gain Duplicate and play it immediately using City-State, you may call it directly to gain another copy of it.
city-state;enlightenment;If Enlightenment is active and you gain a Treasure in your buy phase, you can play it immediately using City-State, causing you to receive the usual effect.
city-state;footpad;If you gain a card and use Footpad to cause a shuffle, you cannot play it using City-State anymore (but you could choose to resolve the on-gain play first).
city-state;forts;If you gain a card and use Hill Fort to cause a shuffle, you cannot play it using City-State anymore (but you could choose to resolve the on-gain play first).
city-state;galleria;"When you gain a cost-reducing card (like Highway, Bridge, or Inventor) and play it immediately using City-State after having played a Galleria, the card's cost before the gain will determine whether you get +Buy (e.g. you won't get +Buy if Highway costs $5 before gaining and playing it).
On the other hand, if you gain a Galleria and play it immediately using City-State, you will get +Buy from the Galleria gain if you have reduced its cost to $3 or $4 prior to the gain."
city-state;gatekeeper;"If your opponent has played Gatekeeper, you gain a card and you don't have a copy of the gained card in Exile, you may choose whether to resolve City-State or the exiling first; if you play the gained card, it cannot be moved to Exile and vice versa."
city-state;graverobber;When you gain a card using Graverobber and immediately play it using City-State, you will not be able to topdeck it.
city-state;guildmaster;"When you gain a Guildmaster and play it immediately using City-State, you receive a Favor from its gain.
After having played a Guildmaster, when you gain a card, you can immediately use the Favors from that gain to play it using City-State."
city-state;haggler;When you buy and gain a Haggler and play it immediately using City-State, you will gain a card costing less than it.
city-state;improve;You can play cards you gain via an Improve trash using City-State during your Clean-up phase. This might lead to weird effects such as Encampment immediately returning to its pile, and Crown being useless.
city-state;infirmary;When you overpay for Infirmary, you choose between the effect of the overpay and City-State triggering. If you choose City-State, Infirmary's overpay will be unable to play itself any number of times (because Infirmary already moved). City-State will also be unable to play Infirmary if you choose the overpay first, for the same reason.
city-state;insignia;When you gain a card, you can decide whether to immediately play it using City-State, or topdeck it using Insignia.
city-state;invasion;When you gain a card using Invasion and immediately play it using City-State, you will not be able to topdeck it.
city-state;inventor;When you play an Inventor to gain and play another Inventor immediately using City-State, the cost of the cards will not yet be reduced as the first Inventor's 'gain a card costing up to $4' effect has not been resolved.
city-state;kiln;When you gain a Kiln and play it immediately using City-State, you will not be able to gain another Kiln due to its 'Next Time' wording. Instead, the next card you play will be subject to its effect.
city-state;livery;When you gain a Livery and play it immediately using City-State, you gain a Horse from its gain.
city-state;odysseys;On your Voyage turn, when you gain an Action, you can (bar some exceptions) play it using City-State without that counting towards the three-card limit, even if you have already played three cards from your hand. Exceptions are gain-to-hand effects (like Swap or Sculptor).
city-state;progress;When you gain a card while Progress is active, you get to choose between topdecking it and playing it immediately using City-State (you can only do one).
city-state;royal_seal;When you gain a card, you can decide whether to immediately play it using City-State, or topdeck it using Royal Seal.
city-state;search;When you gain the last Search and play it immediately using City-State, it will not be trashed and you will not gain a Loot due to its 'Next Time' wording. [This used to be bugged in the TGG client, let us know if it's resolved!]
city-state;sheepdog;If you gain a card and use Sheepdog to cause a shuffle, you cannot play it using City-State anymore (but you could choose to resolve the on-gain play first).
city-state;siren;If you gain a Siren and use City-State to play the Siren, Siren no longer requires you to trash an Action card from your hand in order to not trash the Siren.
city-state;skirmisher;When you gain a Skirmisher and play it immediately using City-State, its effect will trigger, causing your opponents to discard.
city-state;sleigh;When you gain a card, you can decide whether to immediately play it using City-State, or topdeck it using Sleigh.
city-state;sycophant;You can immediately use the Favors from gaining Sycophant to play it using City-State.
city-state;tiara;When you gain a card, you can decide whether to immediately play it using City-State, or topdeck it using Tiara.
city-state;tracker;When you gain a card, you can decide whether to immediately play it using City-State, or topdeck it using Tracker.
city-state;trail;If you gain a card and use Trail to cause a shuffle, you cannot play it using City-State anymore (but you could choose to resolve the on-gain play first).
city-state;trappers_lodge;When you gain a card, you can decide whether to immediately play it using City-State, or topdeck it using Trapper's Lodge.
city-state;travelling_fair;When you gain a card, you can decide whether to immediately play it using City-State, or topdeck it using Travelling Fair.
city-state;watchtower;When you gain a card, you can decide whether to immediately play it using City-State, or topdeck it using Watchtower.
city-state;way_of_the_seal;When you gain a card, you can decide whether to immediately play it using City-State, or topdeck it using Way of the Seal.
clashes;courier;Playing an Action card using Courier from your discard pile does not count as playing it from hand as far as Warlord's attack is concerned.
clashes;crown;Playing Crown is limited by Warlord's attack restriction, no matter whether you try to play it during your Action or your Buy phase.
clashes;enlightenment;Once Enlightenment is active and Treasures become Actions, you may only play at most two of each during your turns while under Warlord attack.
clashes;ferry;You may put the -$2 token on the Clashes pile using Ferry. This will affect all of its cards.
clashes;ferryman;[Only in set-aside case] When you set aside the Clashes with Ferryman, the next player to gain a Ferryman will gain the top card of the pile, and choosing to rotate it using Battle Plan still works.
clashes;hasty;[Only if Hasty is on the Clashes pile] If the Clashes pile is Hasty and you gain a Territory, you set it aside and play it at the start of your next turn (doing nothing, but counting as a card in play). At the end of that turn, you discard it from play.
clashes;inheritance;If you have inherited a card (e.g. Battle Plan) and are under Warlord attack, you may both play two copies of said card and two Estates during your turn.
clashes;lost_arts;You may put the + Action token on the Clashes pile using Lost Arts. This will affect all of its cards.
clashes;orb;Playing an Action card using Orb from your discard pile does not count as playing it from hand as far as Warlord's attack is concerned.
clashes;pathfinding;You may put the + Card token on the Clashes pile using Pathfinding. This will affect all of its cards.
clashes;patient;[Only if Patient is on the Clashes pile] If the Clashes pile is Patient, you can set aside Territories and play them at the start of your next turn (doing nothing, but counting as a card in play). At the end of that turn, you discard them from play.
clashes;peasant;You may put any token on the Clashes pile using Teacher. This will affect all of its cards.
clashes;plan;You may put the trashing token on the Clashes pile using Plan. This will affect all of its cards.
clashes;populate;Buying Populate will gain the top card of the Clashes pile, even if it's not an Action card.
clashes;seaway;You may put the + Buy token on the Clashes pile using Seaway. This will affect all of its cards.
clashes;trail;Playing Trail via its on-gain/on-trash/on-discard effect does not count as playing it from hand as far as Warlord's attack is concerned.
clashes;training;You may put the + $1 token on the Clashes pile using Training. This will affect all of its cards.
clashes;village_green;Playing Village Green via its on-discard effect does not count as playing it from hand as far as Warlord's attack is concerned.
clashes;way_of_the_chameleon;If you play Warlord using Way of the Chameleon, remember that Way of the Chameleon only affects stuff happening *this turn*, so on your next turn, you will get the normal bonus from Warlord.
clashes;weaver;Playing Weaver via its on-discard effect does not count as playing it from hand as far as Warlord's attack is concerned.
clerk;desert_guides;"You may react Clerks both before and after using Favors for Desert Guides, but not in-between; you could e.g. react Clerk, use Desert Guides two times, and then react another Clerk you've just drawn. After that, you may not use Desert Guides again."
clerk;guide;"You may arbitrarily order reacting Clerks and calling Guides at the start of your turn; you could e.g. react a Clerk, call Guide, react another two Clerks that you've just drawn, and call another Guide."
cobbler;gatekeeper;If you gain an Action or Treasure and put it in your hand using Cobbler while under the Gatekeeper attack, you still need to Exile it if you don't have a copy of it in Exile unless you somehow manage to play it during the on-gain-window (e.g. via City-State, or if it has a reaction that plays it, like Sheepdog or Berserker).
cobbler;sheepdog;If you gain a Sheepdog to your hand using Cobbler, you can immediately react to its own gain and play it.
cobbler;siren;If you gain a Siren and put it in your hand using Cobbler, you still need to trash an Action from your hand in order to not trash the Siren.
coin_of_the_realm;highwayman;Calling Coin of the Realm from your Tavern mat will work and provide +2 Actions even if you are affected by the Highwayman attack because you don't *play* it there.
colonnade;inheritance;If you have bought Inheritance, Estates count as Actions on your turn, and therefore will give you 2 VP when bought with an Estate in play.
colonnade;innovation;If you use Innovation to immediately play an Action you gained, you can take 2 VP from Colonnade.
colonnade;trail;If you gain a Trail during your Buy phase and play it immediately, you can take 2 VP from Colonnade.
conquest;gatekeeper;If you gain two Silvers using Conquest while under the Gatekeeper attack, if you don't already have a copy in Exile, you need to exile the first, but may discard the exiled copy along with the gain of the second.
conspirator;reckless;[Only if Reckless is on an Action card] A Reckless card is not played twice as far as Conspirator is concerned. That means if you e.g. Reckless were on Conspirator and you would play it as the second Action this turn, you would only get +$4, not +$4 and +1 Card, +1 Action.
continue;enlightenment;Once Enlightenment is active, you can buy Continue to gain and play any non-Attack Action-Treasure (even Silver) costing at most $4. Since you return to your Action phase first before playing it, you will always get +1 Card and +1 Action from it.
continue;exploration;When you return to your Action phase using Continue, you are ending your Buy phase but gain a card at the same time, so Exploration can't trigger. Exploration can still trigger at the end of a future buy phase.
continue;footpad;If you return to your Action phase using Continue, you are still gaining the card during the Buy phase, so Footpad's ability doesn't trigger.
continue;gatekeeper;If you return to your Action phase using Continue, you get to choose whether you first resolve Continue or Gatekeeper.
continue;hermit;When you return to your Action phase using Continue, you are ending your Buy phase but gain a card at the same time, so Hermit can't trigger. Hermit can still trigger at the end of a future buy phase.
continue;merchant_guild;When you return to your Action phase using Continue, you are ending your Buy phase, so Merchant Guild can trigger.
continue;pageant;When you return to your Action phase using Continue, you are ending your Buy phase, so Pageant can trigger.
continue;progress;When you buy Continue while Progress is active, you have to topdeck the gained card and won't be able to play it.
continue;rapid_expansion;When Rapid Expansion is active, the Action card gained from a Continue buy is set aside before it can be played (you still get +1 Action, +1 Buy and return to your Action phase).
continue;river_shrine;You can only gain cards via River Shrine if you didn't gain any cards in any buy phase during your turn. Therefore, you can never do so after buying Continue, even if you don't gain cards in your last buy phase.
continue;treasury;When you return to your Action phase using Continue, you are ending your Buy phase, so Treasury can trigger.
continue;wine_merchant;When you return to your Action phase using Continue, you are ending your Buy phase, so Wine Merchant can trigger.
contract;mandarin;If you gain a Mandarin and have played Contract before that, you put it on top of your deck, but the duration effect still persists.
coronet;crown;If Coronet's ability lets you play a Treasure in your Action phase, and this Treasure is a Crown, then because it is your Action phase, Crown lets you play an Action card (and not a Treasure) from your hand twice.
coronet;crypt;If you play a Duration card using Coronet, you can still set it aside with Crypt that turn and will NOT get the duration effect off of both plays for the next turn (e.g. Coronet on Wharf, you can Crypt the Coronet away and will draw only 2 cards on the next turn). With Gear, this might even strand cards. Having played Coronet on a previous turn on a Duration card, you can still set it aside with Crypt. Future throned Duration effects (like with Hireling) will then not occur any more.
coronet;daimyo;If you play Daimyo and then Coronet, which you use to play another Daimyo from your hand, since the next non-Command card you replay is the Coronet, it is replayed one more time afterwards by the second Daimyo.
coronet;enchantress;If Enchantress affects Coronet played in a Buy phase, its player gets +1 Card +1 Action, but has no way to use the +1 Action, since it is their Buy phase (but it might matter e.g. if the player buys Villa).
coronet;enlightenment;If Enlightenment is active, Coronet's Action phase mode is overwritten by Enlightenment.
coronet;flagship;If you play Flagship and then Coronet, which you use to play another Flagship from your hand, since the next non-Command card you replay is the Coronet, it is replayed one more time afterwards by the second Flagship.
coronet;landing_party;When you play Coronet as the first card on your turn with Landing Parties set aside, you first finish resolving Coronet before topdecking the Landing Parties.
coronet;outpost;If you play an Outpost using Coronet, you will still only take one extra turn, but the Coronet will stay out with it anyways.
coronet;reckless;When you play a Reckless card using Coronet, it is played four times (although technically, two of these times the initial instructions are only followed again, and it is not a 'play' for the purpose of e.g. Conspirator).
coronet;royal_galley;If you play Duration card (such as Royal Galley) multiple times using a Coronet that you set aside using Royal Galley, since the Coronet is not in play, you will only get the Duration's this-turn effect multiple times, whereas you get the next-turn effect only once. If you set aside cards by playing Royal Galley using the Coronet that you've set aside on the first Royal Galley, only the first set-aside card will be played again at the start of the next turn, while the rest will stay set-aside until the end of the game (but still count towards your deck).
coronet;urchin;If you play an Urchin multiple times using Coronet, you may not trash this Urchin, since you need to play *another* attack card to be able to trash it.
coronet;way_of_the_butterfly;When you play Coronet, you can still decide to play it as Way of the Butterfly, whether you are in your Action or in your Buy phase.
coronet;way_of_the_camel;When you play Coronet, you can still decide to play it as Way of the Camel, whether you are in your Action or in your Buy phase.
coronet;way_of_the_chameleon;When you play Coronet, you can still decide to play it as Way of the Chameleon, whether you are in your Action or in your Buy phase.
coronet;way_of_the_frog;When you play Coronet, you can still decide to play it as Way of the Frog, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
coronet;way_of_the_goat;When you play Coronet, you can still decide to play it as Way of the Goat, whether you are in your Action or in your Buy phase.
coronet;way_of_the_horse;When you play Coronet, you can still decide to play it as Way of the Horse, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
coronet;way_of_the_mole;When you play Coronet, you can still decide to play it as Way of the Mole, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
coronet;way_of_the_monkey;When you play Coronet, you can still decide to play it as Way of the Monkey, whether you are in your Action or in your Buy phase.
coronet;way_of_the_mouse;When you play Coronet, you can still decide to play it as Way of the Mouse, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
coronet;way_of_the_mule;When you play Coronet, you can still decide to play it as Way of the Mule, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
coronet;way_of_the_otter;When you play Coronet, you can still decide to play it as Way of the Otter, whether you are in your Action or in your Buy phase.
coronet;way_of_the_owl;When you play Coronet, you can still decide to play it as Way of the Owl, whether you are in your Action or in your Buy phase.
coronet;way_of_the_ox;When you play Coronet, you can still decide to play it as Way of the Ox, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
coronet;way_of_the_pig;When you play Coronet, you can still decide to play it as Way of the Pig, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
coronet;way_of_the_rat;When you play Coronet, you can still decide to play it as Way of the Rat, whether you are in your Action or in your Buy phase.
coronet;way_of_the_seal;When you play Coronet, you can still decide to play it as Way of the Seal, whether you are in your Action or in your Buy phase.
coronet;way_of_the_sheep;When you play Coronet, you can still decide to play it as Way of the Sheep, whether you are in your Action or in your Buy phase.
coronet;way_of_the_squirrel;When you play Coronet, you can still decide to play it as Way of the Squirrel, whether you are in your Action or in your Buy phase.
coronet;way_of_the_turtle;When you play Coronet, you can still decide to play it as Way of the Turtle, whether you are in your Action or in your Buy phase.
coronet;way_of_the_worm;When you play Coronet, you can still decide to play it as Way of the Worm, whether you are in your Action or in your Buy phase.
corsair;way_of_the_chameleon;If you play Corsair using Way of the Chameleon, remember that Way of the Chameleon only affects stuff happening *this turn*, so on your next turn, you will get the normal bonus from Corsair.
count;townsfolk;If you play a Count using Elder, for each of the choices you get to pick up to two (but can decide e.g. for only one of the Topdeck/Discard/Gain Copper, and two of the +$3/Trash Hand/Gain Duchy choices).
counterfeit;grand_market;Coppers that you play and trash using Counterfeit are not a restriction for buying Grand Market.
courier;crown;If Courier's ability lets you play a Treasure in your Action phase, and this Treasure is a Crown, then because it is your Action phase, Crown lets you play an Action card (and not a Treasure) from your hand twice.
courier;daimyo;If you play Daimyo and then Courier to play a Daimyo from your discard pile, since the next non-Command card you replay is the Courier, it is replayed one more time afterwards by the Daimyo played from the discard pile.
courier;flagship;If you play Flagship and then Courier to play a Flagship from your discard pile, since the next non-Command card you replay is the Courier, it is replayed one more time afterwards by the Flagship played from the discard pile.
courier;odysseys;Playing a card from your discard pile using Courier does not count as playing it from hand as far as Voyage turns are concerned.
courser;gatekeeper;If you gain four Silvers with Courser while under the Gatekeeper attack, if you don't already have a copy in Exile, you need to exile the first, but may discard the exiled copy along with the gain of the last copy.
courser;townsfolk;If you play a Courser using Elder, you get to pick three of the options.
courtier;townsfolk;If you play a Courtier using Elder, you get to pick up to one more option than you usually would have because of the types of the revealed card (but no single option twice).
crafters_guild;den_of_sin;If you gain a Den of Sin using Crafter's Guild, it is topdecked instead of being gained to your hand.
