Card1;Card2;Rule
crafters_guild;innovation;When you gain a card using Crafter's Guild and immediately play it using Innovation, you will not be able to topdeck it.
crafters_guild;night_watchman;If you gain a Night Watchman using Crafter's Guild, it is topdecked instead of being gained to your hand.
crafters_guild;rush;When you gain a card using Crafter's Guild and immediately play it using Rush, you will not be able to topdeck it.
crafters_guild;siren;If you gain a Siren and topdeck it using Crafter's Guild, you still need to trash an Action card from your hand in order to not trash the Siren.
crafters_guild;villa;If you gain a Villa using Crafter's Guild, it is topdecked and then you put it into your hand hand.
crown;enchantress;If Enchantress affects Crown played in a Buy phase, its player gets +1 Card +1 Action, but has no way to use the +1 Action, since it is their Buy phase (but it might matter e.g. if the player buys Villa).
crown;enlightenment;If Enlightenment is active, Crown's Action phase mode is overwritten by Enlightenment.
crown;farmhands;If Farmhands's ability lets you play a Treasure in your Action phase, and this Treasure is a Crown, then because it is your Action phase, Crown lets you play an Action card (and not a Treasure) from your hand twice.
crown;fortune_hunter;If Fortune Hunter's ability lets you play a Treasure in your Action phase, and this Treasure is a Crown, then because it is your Action phase, Crown lets you play an Action card (and not a Treasure) from your hand twice.
crown;herb_gatherer;If Herb Gatherer's ability lets you play a Treasure in your Action phase, and this Treasure is a Crown, then because it is your Action phase, Crown lets you play an Action card (and not a Treasure) from your hand twice.
crown;mining_road;If Mining Road's ability lets you play a Treasure in your Action phase, and this Treasure is a Crown, then because it is your Action phase, Crown lets you play an Action card (and not a Treasure) from your hand twice.
crown;specialist;If Specialist's ability lets you play a Treasure in your Action phase, and this Treasure is a Crown, then because it is your Action phase, Crown lets you play an Action card (and not a Treasure) from your hand twice.
crown;spell_scroll;If Spell Scroll's ability lets you play a Treasure in your Action phase, and this Treasure is a Crown, then because it is your Action phase, Crown lets you play an Action card (and not a Treasure) from your hand twice.
crown;storyteller;If Storyteller's ability lets you play Treasures in your Action phase, and one of those Treasures is Crown, then because it is your Action phase, Crown lets you play an Action card (and not a Treasure) from your hand twice.
crown;way_of_the_butterfly;When you play Crown, you can still decide to play it as Way of the Butterfly, whether you are in your Action or in your Buy phase.
crown;way_of_the_camel;When you play Crown, you can still decide to play it as Way of the Camel, whether you are in your Action or in your Buy phase.
crown;way_of_the_chameleon;When you play Crown, you can still decide to play it as Way of the Chameleon, whether you are in your Action or in your Buy phase.
crown;way_of_the_frog;When you play Crown, you can still decide to play it as Way of the Frog, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
crown;way_of_the_goat;When you play Crown, you can still decide to play it as Way of the Goat, whether you are in your Action or in your Buy phase.
crown;way_of_the_horse;When you play Crown, you can still decide to play it as Way of the Horse, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
crown;way_of_the_mole;When you play Crown, you can still decide to play it as Way of the Mole, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
crown;way_of_the_monkey;When you play Crown, you can still decide to play it as Way of the Monkey, whether you are in your Action or in your Buy phase.
crown;way_of_the_mouse;When you play Crown, you can still decide to play it as Way of the Mouse, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
crown;way_of_the_mule;When you play Crown, you can still decide to play it as Way of the Mule, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
crown;way_of_the_otter;When you play Crown, you can still decide to play it as Way of the Otter, whether you are in your Action or in your Buy phase.
crown;way_of_the_owl;When you play Crown, you can still decide to play it as Way of the Owl, whether you are in your Action or in your Buy phase.
crown;way_of_the_ox;When you play Crown, you can still decide to play it as Way of the Ox, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
crown;way_of_the_pig;When you play Crown, you can still decide to play it as Way of the Pig, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
crown;way_of_the_rat;When you play Crown, you can still decide to play it as Way of the Rat, whether you are in your Action or in your Buy phase.
crown;way_of_the_seal;When you play Crown, you can still decide to play it as Way of the Seal, whether you are in your Action or in your Buy phase.
crown;way_of_the_sheep;When you play Crown, you can still decide to play it as Way of the Sheep, whether you are in your Action or in your Buy phase.
crown;way_of_the_squirrel;When you play Crown, you can still decide to play it as Way of the Squirrel, whether you are in your Action or in your Buy phase.
crown;way_of_the_turtle;When you play Crown, you can still decide to play it as Way of the Turtle, whether you are in your Action or in your Buy phase.
crown;way_of_the_worm;When you play Crown, you can still decide to play it as Way of the Worm, whether you are in your Action or in your Buy phase.
crypt;reckless;If Reckless is on a Treasure and you stow it away with Crypt, you cannot return it to its pile and it will stay in the Crypt for later use.
cultist;market_square;When trashing a Cultist with Market Square in hand, you get to decide which effect to resolve first, and can even react a Market Square you have just drawn from the on-trash draw ability of Cultist.
demand;den_of_sin;If you gain a Den of Sin using Demand, it is topdecked instead of being gained to your hand.
demand;ghost_town;If you gain a Ghost Town using Demand, it is topdecked instead of being gained to your hand.
demand;guardian;If you gain a Guardian using Demand, it is topdecked instead of being gained to your hand.
demand;innovation;When you gain a card using Demand and immediately play it using Innovation, you will not be able to topdeck it.
demand;night_watchman;If you gain a Night Watchman using Demand, it is topdecked instead of being gained to your hand.
demand;rush;When you gain a card using Demand and immediately play it using Rush, you will not be able to topdeck it.
demand;siren;If you gain a Siren and topdeck it using Demand, you still need to trash an Action card from your hand in order to not trash the Siren.
demand;villa;If you Demand a Villa, you will gain a Horse and the Villa on top of your deck, get +1 Action, and return to your Action phase.
den_of_sin;develop;If you gain a Den of Sin using Develop, it is topdecked instead of being gained to your hand.
den_of_sin;graverobber;If you gain a Den of Sin using Graverobber, it is topdecked instead of being gained to your hand.
den_of_sin;insignia;If you gain a Den of Sin, you can decide whether to topdeck it using Insignia, or gain it to your hand.
den_of_sin;invasion;If you gain a Den of Sin using Invasion, it is topdecked instead of being gained to your hand.
den_of_sin;progress;If you gain a Den of Sin using Progress, it is topdecked instead of being gained to your hand.
den_of_sin;royal_seal;If you gain a Den of Sin, you can decide whether to topdeck it using Royal Seal, or gain it to your hand.
den_of_sin;sleigh;If you gain a Den of Sin, you can decide whether to topdeck it using Sleigh, or gain it to your hand.
den_of_sin;tiara;If you gain a Den of Sin, you can decide whether to topdeck it using Tiara, or gain it to your hand.
den_of_sin;tracker;If you gain a Den of Sin, you can decide whether to topdeck it using Tracker, or gain it to your hand.
den_of_sin;trappers_lodge;If you gain a Den of Sin, you can decide whether to topdeck it using Trapper's Lodge, or gain it to your hand.
den_of_sin;travelling_fair;If you gain a Den of Sin, you can decide whether to topdeck it using Travelling Fair, or gain it to your hand.
den_of_sin;watchtower;If you gain a Den of Sin, you can decide whether to topdeck it using Watchtower, or gain it to your hand.
den_of_sin;way_of_the_seal;If you gain a Den of Sin, you can decide whether to topdeck it using Way of the Seal, or gain it to your hand.
destrier;growth;Destrier's cost will be evaluated after each gain, so you may gain an initially $6-costing Destrier off of a Gold gain when Growth is active.
destrier;haggler;Destrier's cost will be evaluated after each gain, so if you buy a Destrier costing $6, you may gain a card cheaper than $5 afterwards from Haggler. On the other hand, you may gain an initially $6-costing Destrier off of a Gold buy.
destrier;stonemason;When you gain two Action cards each costing exactly the amount you overpaid, only one of them can ever be Destrier because its cost is checked as you gain it and not when you overpay.
destrier;taskmaster;For Taskmaster, the cost of Destrier when you gain it is important.
develop;ghost_town;If you gain a Ghost Town using Develop, it is topdecked instead of being gained to your hand.
develop;guardian;If you gain a Guardian using Develop, it is topdecked instead of being gained to your hand.
develop;innovation;When you gain a card using Develop and immediately play it using Innovation, you will not be able to topdeck it.
develop;night_watchman;If you gain a Night Watchman using Develop, it is topdecked instead of being gained to your hand.
develop;rush;When you gain a card using Develop and immediately play it using Rush, you will not be able to topdeck it.
develop;siren;If you gain a Siren and topdeck it using Develop, you still need to trash an Action card from your hand in order to not trash the Siren.
develop;villa;If you gain a Villa using Develop, it is topdecked and then you put it into your hand hand.
diplomat;soothsayer;If an opponent plays Soothsayer, you may react with Diplomat immediately, and then gain a Curse. Once you're done reacting, you draw a card due to Soothsayer, and if that card is a Diplomat, it is too late for you to react with that one.
diplomat;way_of_the_butterfly;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Butterfly.
diplomat;way_of_the_camel;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Camel.
diplomat;way_of_the_chameleon;"You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Chameleon.
If you play Diplomat using Way of the Chameleon, getting +$2 instead of +2 cards, you still get +2 actions even though Diplomat states '(after drawing)' when you in reality didn't draw any cards, assuming you have 5 or fewer cards in hand."
diplomat;way_of_the_frog;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Frog.
diplomat;way_of_the_goat;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Goat.
diplomat;way_of_the_horse;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Horse.
diplomat;way_of_the_mole;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Mole.
diplomat;way_of_the_monkey;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Monkey.
diplomat;way_of_the_mouse;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Mouse.
diplomat;way_of_the_mule;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Mule.
diplomat;way_of_the_otter;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Otter.
diplomat;way_of_the_owl;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Owl.
diplomat;way_of_the_ox;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Ox.
diplomat;way_of_the_pig;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Pig.
diplomat;way_of_the_rat;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Rat.
diplomat;way_of_the_seal;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Seal.
diplomat;way_of_the_sheep;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Sheep.
diplomat;way_of_the_squirrel;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Squirrel.
diplomat;way_of_the_turtle;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Turtle.
diplomat;way_of_the_worm;You can react your Diplomat's ability to an opponent playing an Attack card even if they play it as Way of the Worm.
divine_wind;encampment;Once Divine Wind has been triggered, when you play an Encampment that came from the initial supply, if you don't reveal a Gold or Plunder, then you set aside the Encampment but since it has no pile to return to, it stays set aside for the rest of the game (it still counts as one of your cards for scoring).
divine_wind;experiment;Once Divine Wind has been triggered, when you play an Experiment that came from the initial supply, you get +2 Cards and +1 Action, but it does not return to a pile and stays in play. This is because Experiment does not have a pile to return to.
divine_wind;farmers_market;Once Divine Wind is triggered and the Farmers' Market pile is removed from the supply, since there is no pile to gather VP tokens on, the gathering will have no effect.
divine_wind;obelisk;Once Divine Wind has been triggered, cards from the initial Obelisk pile will continue to be worth 2 VP.
divine_wind;page;Once Divine Wind is triggered and the Page pile is removed from the supply, you cannot exchange your Pages for other Travellers anymore since they have no pile to return to. You can however continue to exchange any Travellers further up the line as their non-supply piles stay.
divine_wind;peasant;Once Divine Wind is triggered and the Peasant pile is removed from the supply, you cannot exchange your Peasants for other Travellers anymore since they have no pile to return to. You can however continue to exchange any Travellers further up the line as their non-supply piles stay.
divine_wind;snake_witch;Once Divine Wind has been triggered, previously gained Snake Witches will never be able to Curse as they do not have a pile to return to.
divine_wind;temple;Once Divine Wind is triggered and the Temple pile is removed from the supply, since there is no pile to gather VP tokens on, the gathering will have no effect.
divine_wind;way_of_the_butterfly;Once Divine Wind has been triggered, if you play any card from the initial supply using Way of the Butterfly, it cannot to its pile, and will fail to do anything except for going into your play area.
divine_wind;way_of_the_horse;Once Divine Wind has been triggered, if you play any card from the initial supply using Way of the Horse, you get +2 Cards and +1 Action, but it does not return to a pile as the pile to return to doesn't exist any longer.
divine_wind;wild_hunt;Once Divine Wind is triggered and the Wild Hunt pile is removed from the supply, since there is no pile to gather VP tokens on, the gathering will have no effect.
divine_wind;young_witch;Once Divine Wind has been triggered, cards from the initial Bane pile will continue to be the Bane.
doubloons;panic;When you discard Doubloons from play while Panic is active, you return it to the top of the Loot pile. When discarding multiple, you get to choose the order.
duplicate;gondola;When you gain a Gondola and play a Duplicate from your hand, you may call it directly to gain another Gondola.
duplicate;innovation;When you gain Duplicate and play it immediately using Innovation, you may call it directly to gain another copy of it.
duplicate;rush;When you gain Duplicate and play it immediately using Rush, you may call it directly to gain another copy of it.
duplicate;spell_scroll;When you gain Duplicate and play it immediately using Spell Scroll, you may call it directly to gain another copy of it.
encampment/plunder;populate;Buying Populate will gain the top card of the Encampment/Plunder pile, even if it's not an Action card.
encampment;prince;If you set aside an Encampment with Prince, it will fail to set itself aside when you play it and don't reveal Gold or Plunder, so Prince replays it at the start of each turn successfully.
encampment;royal_galley;"If you play an Encampment with Royal Galley (RG) and you fail to reveal a Gold or Plunder, you set it aside and return it to its pile at the end of the turn; the RG gets discarded during Clean-up as it doesn't have anything left to do."
enchantress;reckless;If you are under the Enchantress Attack and play a Reckless Action card as the first Action during your turn, you will only get +1 Card, +1 Action, fail to follow the instructions the second time, but still have to return the Reckless Action when you discard it from play.
enchantress;spell_scroll;If Enchantress affects Spell Scroll played in a Buy phase, its player gets +1 Card +1 Action, but has no way to use the +1 Action, since it is their Buy phase (but it might matter e.g. if the player buys Villa).
enchantress;way_of_the_butterfly;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Butterfly, overriding Enchantress' spell.
enchantress;way_of_the_camel;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Camel, overriding Enchantress' spell.
enchantress;way_of_the_chameleon;If you are playing your first Action in a turn using Way of the Chameleon while being affected by the Enchantress attack, you will still only get +1 Card +1 Action.
enchantress;way_of_the_frog;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Frog, overriding Enchantress' spell.
enchantress;way_of_the_goat;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Goat, overriding Enchantress' spell.
enchantress;way_of_the_horse;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Horse, overriding Enchantress' spell.
enchantress;way_of_the_mole;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Mole, overriding Enchantress' spell.
enchantress;way_of_the_monkey;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Monkey, overriding Enchantress' spell.
enchantress;way_of_the_mouse;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Mouse, overriding Enchantress' spell.
enchantress;way_of_the_mule;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Mule, overriding Enchantress' spell.
enchantress;way_of_the_otter;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Otter, overriding Enchantress' spell.
enchantress;way_of_the_owl;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Owl, overriding Enchantress' spell.
enchantress;way_of_the_ox;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Ox, overriding Enchantress' spell.
enchantress;way_of_the_rat;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Rat, overriding Enchantress' spell.
enchantress;way_of_the_seal;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Seal, overriding Enchantress' spell.
enchantress;way_of_the_sheep;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Sheep, overriding Enchantress' spell.
enchantress;way_of_the_squirrel;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Squirrel, overriding Enchantress' spell.
enchantress;way_of_the_turtle;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Turtle, overriding Enchantress' spell.
enchantress;way_of_the_worm;If you are playing your first Action in a turn while being affected by the Enchantress attack, you can choose to play it as Way of the Worm, overriding Enchantress' spell.
endless_chalice;mandarin;If you gain a Mandarin and have played Endless Chalice before that, you put it on top of your deck, but the duration effect still persists.
endless_chalice;panic;Since you never discard Endless Chalice from play after playing it (bar e.g. Highwayman), you never return it for Panic.
enlightenment;spell_scroll;If Enlightenment is active, Spell Scroll's Action phase mode is overwritten by Enlightenment.
enlightenment;way_of_the_butterfly;Once Enlightenment is active, you can choose to play your treasures as Way of the Butterfly both in your Action and Buy phase.
enlightenment;way_of_the_camel;Once Enlightenment is active, you can choose to play your treasures as Way of the Camel both in your Action and Buy phase.
enlightenment;way_of_the_chameleon;Once Enlightenment is active, you can choose to play your treasures as Way of the Chameleon both in your Action and Buy phase.
enlightenment;way_of_the_frog;Once Enlightenment is active, you can choose to play your treasures as Way of the Frog both in your Action and Buy phase. Remember that + Actions can't be used during your Buy phase.
enlightenment;way_of_the_goat;Once Enlightenment is active, you can choose to play your treasures as Way of the Goat both in your Action and Buy phase.
enlightenment;way_of_the_horse;Once Enlightenment is active, you can choose to play your treasures as Way of the Horse both in your Action and Buy phase. Remember that + Actions can't be used during your Buy phase.
enlightenment;way_of_the_mole;Once Enlightenment is active, you can choose to play your treasures as Way of the Mole both in your Action and Buy phase. Remember that + Actions can't be used during your Buy phase.
enlightenment;way_of_the_monkey;Once Enlightenment is active, you can choose to play your treasures as Way of the Monkey both in your Action and Buy phase.
enlightenment;way_of_the_mouse;Once Enlightenment is active, you can choose to play your treasures as Way of the Mouse both in your Action and Buy phase. Remember that + Actions can't be used during your Buy phase.
enlightenment;way_of_the_mule;Once Enlightenment is active, you can choose to play your treasures as Way of the Mule both in your Action and Buy phase. Remember that + Actions can't be used during your Buy phase.
enlightenment;way_of_the_otter;Once Enlightenment is active, you can choose to play your treasures as Way of the Otter both in your Action and Buy phase.
enlightenment;way_of_the_owl;Once Enlightenment is active, you can choose to play your treasures as Way of the Owl both in your Action and Buy phase.
enlightenment;way_of_the_ox;Once Enlightenment is active, you can choose to play your treasures as Way of the Ox both in your Action and Buy phase. Remember that + Actions can't be used during your Buy phase.
enlightenment;way_of_the_pig;Once Enlightenment is active, you can choose to play your treasures as Way of the Pig both in your Action and Buy phase. Remember that + Actions can't be used during your Buy phase.
enlightenment;way_of_the_rat;Once Enlightenment is active, you can choose to play your treasures as Way of the Rat both in your Action and Buy phase.
enlightenment;way_of_the_seal;Once Enlightenment is active, you can choose to play your treasures as Way of the Seal both in your Action and Buy phase.
enlightenment;way_of_the_sheep;Once Enlightenment is active, you can choose to play your treasures as Way of the Sheep both in your Action and Buy phase.
enlightenment;way_of_the_squirrel;Once Enlightenment is active, you can choose to play your treasures as Way of the Squirrel both in your Action and Buy phase.
enlightenment;way_of_the_turtle;Once Enlightenment is active, you can choose to play your treasures as Way of the Turtle both in your Action and Buy phase.
enlightenment;way_of_the_worm;Once Enlightenment is active, you can choose to play your treasures as Way of the Worm both in your Action and Buy phase.
experiment;procession;When you play an Experiment with Procession, you return it to its pile after its first play, so it doesn't get trashed. Nevertheless, you gain a card costing $1 more than it.
exploration;launch;When you return to your Action phase using Launch, you are ending your Buy phase, so Exploration can trigger.
exploration;villa;When you return to your Action phase using Villa, you are ending your Buy phase but gain a card at the same time, so Exploration can't trigger. Exploration can still trigger at the end of a future buy phase.
falconer;gatekeeper;If you gain a card and put it in your hand using Falconer while under the Gatekeeper attack, you still need to Exile it if you don't have a copy of it in Exile.
falconer;sheepdog;If you gain a Sheepdog to your hand using Falconer, you can immediately react to its own gain and play it.
falconer;siren;If you gain a Siren and put it in your hand using Falconer, you still need to trash an Action from your hand in order to not trash the Siren.
falconer;way_of_the_butterfly;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Butterfly.
falconer;way_of_the_camel;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Camel.
falconer;way_of_the_chameleon;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Chameleon. Remember that +$ can't normally be used on other player's turns.
falconer;way_of_the_frog;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Frog. Remember that + Action can't normally be used on other player's turns.
falconer;way_of_the_goat;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Goat.
falconer;way_of_the_horse;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Horse. Remember that + Action can't normally be used on other player's turns.
falconer;way_of_the_mole;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Mole. Remember that + Action can't normally be used on other player's turns.
falconer;way_of_the_monkey;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Monkey. Remember that +$ and + Buy can't normally be used on other player's turns.
falconer;way_of_the_mouse;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Mouse. Remember that +$ and + Action and + Buy can't normally be used on other player's turns.
falconer;way_of_the_mule;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Mule. Remember that +$ and + Action can't normally be used on other player's turns.
falconer;way_of_the_otter;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Otter.
falconer;way_of_the_owl;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Owl.
falconer;way_of_the_ox;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Ox. Remember that + Action can't normally be used on other player's turns.
falconer;way_of_the_pig;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Pig. Remember that + Action can't normally be used on other player's turns.
falconer;way_of_the_rat;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Rat.
falconer;way_of_the_seal;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Seal. Remember that +$ can't normally be used on other player's turns.
falconer;way_of_the_sheep;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Sheep. Remember that +$ can't normally be used on other player's turns.
falconer;way_of_the_squirrel;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Squirrel.
falconer;way_of_the_turtle;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Turtle.
falconer;way_of_the_worm;When you react and play Falconer during another player's turn, you can decide to play it as Way of the Worm.
famine;patron;If you reveal a Patron among the three cards, you will get +1 Coffers as long as it's during an Action phase.
farmhands;inheritance;If you gain a Farmhands during your opponent's turn (e.g. due to Barbarian, Messenger, etc.) and they have bought Inheritance, you may set aside an Estate from your hand even if you have not bought Inheritance. In that case, it will be played at the start of your next turn (doing nothing, but counting as a card in play). At the end of that turn, you discard it from play.
fated;patron;If Patron is Fated, you will get +1 Coffers from each Patron as long as you shuffle during an Action phase, and put them onto the top or bottom of your deck.
fellowship_of_scribes;frigate;If you're under the Frigate attack, you can choose the order of discarding/drawing with Scribes, i.e. after playing an Action, you may first discard down to 4 cards in hand, and then use a Favor to draw 1 card, or (if you already had only 4 cards in hand) draw 1 card using Scribes and then discard down to 4 again.
figurehead;mandarin;If you gain a Mandarin and have played Figurehead before that, you put it on top of your deck, but the duration effect still persists.
figurehead;panic;When you discard Figurehead from play while Panic is active, you return it to the top of the Loot pile. When discarding multiple, you get to choose the order.
fisherman;growth;Fisherman's cost will be evaluated after each gain, so you can usually not gain one after having gained a Silver when Growth is active.
fisherman;haggler;Fisherman's cost will be evaluated after each gain, so if you e.g. buy a Fisherman for $2 after having played a Haggler, you will be able to gain a card costing less than $5 (as long as the Fisherman is in the Discard Pile). On the other hand, you normally cannot gain a Fisherman for $2 off of a $5 cost gain.
fisherman;stonemason;Even if you have an empty discard pile while overpaying on the Stonemason buy, it will be gained (to your discard pile) first, causing the Fisherman to always cost $5 for the overpay.
fisherman;taskmaster;For Taskmaster, the cost Fisherman has when you gain it is important.
fisherman;wayfarer;After gaining a Fisherman to your Discard pile, even if it only cost $2, Wayfarer will cost $5 afterwards.
footpad;innovation;If you gain a card and use Footpad to cause a shuffle, you cannot play it using Innovation anymore (but you could choose to resolve the on-gain play first).
footpad;rush;If you gain a card and use Footpad to cause a shuffle, you cannot play it using Rush anymore (but you could choose to resolve the on-gain play first).
footpad;siren;If you gain a Siren and somehow trigger a shuffle by drawing a card using Footpad, you still may trash an Action card from you hand, but the Siren will fail to trash itself and it will stay in your deck.
footpad;spell_scroll;If you gain a card and use Footpad to cause a shuffle, you cannot play it using Spell Scroll anymore (but you could choose to resolve the on-gain play first).
footpad;villa;If you return to your Action phase using Villa, you are still gaining the card during the Buy phase, so Footpad's ability doesn't trigger.
forager;sewers;If you trash a Treasure that is unique to the trash with Sewers in reaction to Forager's trashing, said Treasure will be considered by Forager's check for unique Treasures, i.e. yield $.'
foray;patron;If you buy Foray during your Buy phase and reveal a Patron this way, you will not get +1 Coffers since it's not an Action phase.
galleria;gondola;When you gain a Gondola and play a Galleria from your hand, you will immediately get +Buy from the Gondola gain.
galleria;innovation;"When you gain a cost-reducing card (like Highway, Bridge, or Inventor) and play it immediately using Innovation after having played a Galleria, the card's cost before the gain will determine whether you get +Buy (e.g. you won't get +Buy if Highway costs $5 before gaining and playing it).
On the other hand, if you gain a Galleria and play it immediately using Innovation, you will get +Buy from the Galleria gain if you have reduced its cost to $3 or $4 prior to the gain."
galleria;rush;"When you gain a cost-reducing card (like Highway, Bridge, or Inventor) and play it immediately using Rush after having played a Galleria, the card's cost before the gain will determine whether you get +Buy (e.g. you won't get +Buy if Highway costs $5 before gaining and playing it).
On the other hand, if you gain a Galleria and play it immediately using Rush, you will get +Buy from the Galleria gain if you have reduced its cost to $3 or $4 prior to the gain."
galleria;spell_scroll;"When you gain a cost-reducing card (like Highway, Bridge, or Inventor) and play it immediately using Spell Scroll after having played a Galleria, the card's cost before the gain will determine whether you get +Buy (e.g. you won't get +Buy if Highway costs $5 before gaining and playing it).
On the other hand, if you gain a Galleria and play it immediately using Spell Scroll, you will get +Buy from the Galleria gain if you have reduced its cost to $3 or $4 prior to the gain."
gamble;patron;If you buy Gamble during your Buy phase and reveal a Patron this way, you will not get +1 Coffers since it's not an Action phase.
garrison;inheritance;If you play a Garrison using Inheritance, you can't put tokens on Garrison because it's not in play, and you don't put tokens on Estate either. This means it won't draw any cards next turn and will be discarded this turn.
garrison;overlord;If you play a Garrison using Overlord, you can't put tokens on Garrison because it's not in play, and you don't put tokens on Overlord either. This means it won't draw any cards next turn and will be discarded this turn.
gatekeeper;hill_fort;If you gain a card and put it in your hand using Hill Fort while under the Gatekeeper attack, you still need to Exile it if you don't have a copy of it in Exile.
gatekeeper;innovation;"If your opponent has played Gatekeeper, you gain a card and you don't have a copy of the gained card in Exile, you may choose whether to resolve Innovation or the exiling first; if you play the gained card, it cannot be moved to Exile and vice versa."
gatekeeper;kind_emperor;If you gain a card and put it in your hand using Kind Emperor while under the Gatekeeper attack, you still need to Exile it if you don't have a copy of it in Exile.
gatekeeper;rush;"If your opponent has played Gatekeeper, you gain a card and you don't have a copy of the gained card in Exile, you may choose whether to resolve Rush or the exiling first; if you play the gained card, it cannot be moved to Exile and vice versa."
gatekeeper;sailor;"If your opponent has played Gatekeeper, you gain a Duration card and you don't have a copy of the gained card in Exile, you may choose whether to resolve Sailor or the exiling first; if you play the gained Duration card, it cannot be moved to Exile and vice versa."
gatekeeper;sculptor;If you gain a card and put it in your hand using Sculptor while under the Gatekeeper attack, you still need to Exile it if you don't have a copy of it in Exile.
gatekeeper;silver_mine;If you gain a card and put it in your hand using Silver Mine while under the Gatekeeper attack, you still need to Exile it if you don't have a copy of it in Exile.
gatekeeper;siren;If you gain a Siren while under Gatekeeper attack (and don't have a Siren in Exile), you can choose which effect (exiling Siren or trashing an Action for it) to resolve first, and the Siren stays in Exile even if you don't trash an Action afterwards.
gatekeeper;spell_scroll;"If your opponent has played Gatekeeper, you gain a card and you don't have a copy of the gained card in Exile, you may choose whether to resolve Spell Scroll or the exiling first; if you play the gained card, it cannot be moved to Exile and vice versa."
